-13093    	23600     	-51067    	1305      	9635      	-8795     	-8106     	1952      	
-655      	4105      	-10416    	4876      	-23628    	18513     	-12111    	-30406    	
-26424    	-13950    	-27586    	1490      	-4171     	1648      	-8118     	-2493     	
-42884    	-23184    	-2806     	-8233     	1470      	-34931    	22536     	-579      	
-5258     	10663     	-9873     	-10887    	-14731    	-26652    	5849      	9503      	
4451      	41090     	7197      	-33005    	22042     	38782     	-17084    	12576     	
767       	-12587    	-8584     	-11327    	-644      	25013     	56147     	-4929     	
236       	16130     	54678     	8005      	12520     	22948     	-34908    	0         	
